Name,url
"Crawford, Jamal",http://stats.nba.com/player/#!/2037/
"Crawford, Jordan",http://stats.nba.com/player/#!/202348/
"Crowder, Jae",http://stats.nba.com/player/#!/203109/
"Curry, Seth",http://stats.nba.com/player/#!/203552/
"Curry, Stephen",http://stats.nba.com/player/#!/201939/
"Daniels, Troy",http://stats.nba.com/player/#!/203584/
"Davis, Anthony",http://stats.nba.com/player/#!/203076/
"Davis, Deyonta",http://stats.nba.com/player/#!/1627738/
"Davis, Ed",http://stats.nba.com/player/#!/202334/
"DeRozan, DeMar",http://stats.nba.com/player/#!/201942/
"Dedmon, Dewayne",http://stats.nba.com/player/#!/203473/
"Dekker, Sam",http://stats.nba.com/player/#!/1626155/
"Delaney, Malcolm",http://stats.nba.com/player/#!/1627098/
"Dellavedova, Matthew",http://stats.nba.com/player/#!/203521/
"Deng, Luol",http://stats.nba.com/player/#!/2736/
"Diallo, Cheick",http://stats.nba.com/player/#!/1627767/
"Dieng, Gorgui",http://stats.nba.com/player/#!/203476/
"Dinwiddie, Spencer",http://stats.nba.com/player/#!/203915/
"Dorsey, Tyler",http://stats.nba.com/player/#!/1628416/
"Dotson, Damyean",http://stats.nba.com/player/#!/1628422/
"Doyle, Milton",http://stats.nba.com/player/#!/1628495/
"Dragic, Goran",http://stats.nba.com/player/#!/201609/
"Drew II, Larry",http://stats.nba.com/player/#!/203580/
"Drummond, Andre",http://stats.nba.com/player/#!/203083/
"Dudley, Jared",http://stats.nba.com/player/#!/201162/
"Dunn, Kris",http://stats.nba.com/player/#!/1627739/
"Durant, Kevin",http://stats.nba.com/player/#!/201142/
"Ellenson, Henry",http://stats.nba.com/player/#!/1627740/
"Ellington, Wayne",http://stats.nba.com/player/#!/201961/
"Embiid, Joel",http://stats.nba.com/player/#!/203954/
"Ennis, Tyler",http://stats.nba.com/player/#!/203898/
"Ennis III, James",http://stats.nba.com/player/#!/203516/
"Evans, Jawun",http://stats.nba.com/player/#!/1628393/
"Evans, Tyreke",http://stats.nba.com/player/#!/201936/
"Exum, Dante",http://stats.nba.com/player/#!/203957/
"Faried, Kenneth",http://stats.nba.com/player/#!/202702/
"Favors, Derrick",http://stats.nba.com/player/#!/202324/
"Felder, Kay",http://stats.nba.com/player/#!/1627770/
"Felicio, Cristiano",http://stats.nba.com/player/#!/1626245/
"Felton, Raymond",http://stats.nba.com/player/#!/101109/
"Ferguson, Terrance",http://stats.nba.com/player/#!/1628390/
"Ferrell, Yogi",http://stats.nba.com/player/#!/1627812/
"Finney-Smith, Dorian",http://stats.nba.com/player/#!/1627827/
"Forbes, Bryn",http://stats.nba.com/player/#!/1627854/
"Fournier, Evan",http://stats.nba.com/player/#!/203095/
"Fox, De'Aaron",http://stats.nba.com/player/#!/1628368/
"Frazier, Tim",http://stats.nba.com/player/#!/204025/
"Frye, Channing",http://stats.nba.com/player/#!/101112/
"Fultz, Markelle",http://stats.nba.com/player/#!/1628365/
"Gallinari, Danilo",http://stats.nba.com/player/#!/201568/
"Galloway, Langston",http://stats.nba.com/player/#!/204038/
"Gasol, Marc",http://stats.nba.com/player/#!/201188/
"Gasol, Pau",http://stats.nba.com/player/#!/2200/
"Gay, Rudy",http://stats.nba.com/player/#!/200752/
"George, Paul",http://stats.nba.com/player/#!/202331/
"Gibson, Taj",http://stats.nba.com/player/#!/201959/
"Giles, Harry",http://stats.nba.com/player/#!/1628385/
"Ginobili, Manu",http://stats.nba.com/player/#!/1938/
"Gobert, Rudy",http://stats.nba.com/player/#!/203497/
"Gordon, Aaron",http://stats.nba.com/player/#!/203932/
"Gordon, Eric",http://stats.nba.com/player/#!/201569/
"Gortat, Marcin",http://stats.nba.com/player/#!/101162/
"Graham, Treveon",http://stats.nba.com/player/#!/1626203/
"Grant, Jerami",http://stats.nba.com/player/#!/203924/
"Grant, Jerian",http://stats.nba.com/player/#!/1626170/
"Green, Danny",http://stats.nba.com/player/#!/201980/
"Green, Draymond",http://stats.nba.com/player/#!/203110/
"Green, Jeff",http://stats.nba.com/player/#!/201145/
"Griffin, Blake",http://stats.nba.com/player/#!/201933/
"Griffin, Eric",http://stats.nba.com/player/#!/203547/
"Hamilton, Daniel",http://stats.nba.com/player/#!/1627772/
"Hammons, AJ",http://stats.nba.com/player/#!/1627773/
"Hardaway Jr., Tim",http://stats.nba.com/player/#!/203501/
"Harden, James",http://stats.nba.com/player/#!/201935/
"Harkless, Maurice",http://stats.nba.com/player/#!/203090/
"Harrell, Montrezl",http://stats.nba.com/player/#!/1626149/
"Harris, Devin",http://stats.nba.com/player/#!/2734/
"Harris, Gary",http://stats.nba.com/player/#!/203914/
"Harris, Joe",http://stats.nba.com/player/#!/203925/
